file,year,kai,track,nichi,url,path,ok,bytes
2021-5nakayama2.pdf,2021,5,nakayama,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama2.pdf,data/text/2021/2021-5nakayama2.txt,1,145731
2021-5nakayama3.pdf,2021,5,nakayama,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama3.pdf,data/text/2021/2021-5nakayama3.txt,1,141259
2021-5nakayama4.pdf,2021,5,nakayama,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama4.pdf,data/text/2021/2021-5nakayama4.txt,1,144779
2021-5nakayama5.pdf,2021,5,nakayama,5,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama5.pdf,data/text/2021/2021-5nakayama5.txt,1,150114
2021-5nakayama6.pdf,2021,5,nakayama,6,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama6.pdf,data/text/2021/2021-5nakayama6.txt,1,148798
2021-5nakayama7.pdf,2021,5,nakayama,7,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama7.pdf,data/text/2021/2021-5nakayama7.txt,1,148629
2021-5nakayama8.pdf,2021,5,nakayama,8,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama8.pdf,data/text/2021/2021-5nakayama8.txt,1,156527
2021-5nakayama9.pdf,2021,5,nakayama,9,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5nakayama9.pdf,data/text/2021/2021-5nakayama9.txt,1,151875
2021-1hanshin1.pdf,2021,1,hanshin,1,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin1.pdf,data/text/2021/2021-1hanshin1.txt,1,131008
2021-1hanshin2.pdf,2021,1,hanshin,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin2.pdf,data/text/2021/2021-1hanshin2.txt,1,136453
2021-1hanshin3.pdf,2021,1,hanshin,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin3.pdf,data/text/2021/2021-1hanshin3.txt,1,141990
2021-1hanshin4.pdf,2021,1,hanshin,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin4.pdf,data/text/2021/2021-1hanshin4.txt,1,140818
2021-1hanshin5.pdf,2021,1,hanshin,5,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin5.pdf,data/text/2021/2021-1hanshin5.txt,1,137625
2021-1hanshin6.pdf,2021,1,hanshin,6,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin6.pdf,data/text/2021/2021-1hanshin6.txt,1,137713
2021-1hanshin7.pdf,2021,1,hanshin,7,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin7.pdf,data/text/2021/2021-1hanshin7.txt,1,133623
2021-1hanshin8.pdf,2021,1,hanshin,8,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin8.pdf,data/text/2021/2021-1hanshin8.txt,1,132654
2021-1hanshin9.pdf,2021,1,hanshin,9,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin9.pdf,data/text/2021/2021-1hanshin9.txt,1,131732
2021-1hanshin10.pdf,2021,1,hanshin,10,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin10.pdf,data/text/2021/2021-1hanshin10.txt,1,133973
2021-1hanshin11.pdf,2021,1,hanshin,11,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin11.pdf,data/text/2021/2021-1hanshin11.txt,1,136290
2021-1hanshin12.pdf,2021,1,hanshin,12,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-1hanshin12.pdf,data/text/2021/2021-1hanshin12.txt,1,138310
2021-2hanshin1.pdf,2021,2,hanshin,1,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin1.pdf,data/text/2021/2021-2hanshin1.txt,1,132955
2021-2hanshin2.pdf,2021,2,hanshin,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin2.pdf,data/text/2021/2021-2hanshin2.txt,1,141548
2021-2hanshin3.pdf,2021,2,hanshin,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin3.pdf,data/text/2021/2021-2hanshin3.txt,1,138727
2021-2hanshin4.pdf,2021,2,hanshin,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin4.pdf,data/text/2021/2021-2hanshin4.txt,1,150972
2021-2hanshin5.pdf,2021,2,hanshin,5,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin5.pdf,data/text/2021/2021-2hanshin5.txt,1,142184
2021-2hanshin6.pdf,2021,2,hanshin,6,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin6.pdf,data/text/2021/2021-2hanshin6.txt,1,145012
2021-2hanshin7.pdf,2021,2,hanshin,7,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin7.pdf,data/text/2021/2021-2hanshin7.txt,1,145977
2021-2hanshin8.pdf,2021,2,hanshin,8,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin8.pdf,data/text/2021/2021-2hanshin8.txt,1,136782
2021-2hanshin9.pdf,2021,2,hanshin,9,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin9.pdf,data/text/2021/2021-2hanshin9.txt,1,131267
2021-2hanshin10.pdf,2021,2,hanshin,10,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin10.pdf,data/text/2021/2021-2hanshin10.txt,1,144306
2021-2hanshin11.pdf,2021,2,hanshin,11,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin11.pdf,data/text/2021/2021-2hanshin11.txt,1,140116
2021-2hanshin12.pdf,2021,2,hanshin,12,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-2hanshin12.pdf,data/text/2021/2021-2hanshin12.txt,1,149775
2021-3hanshin1.pdf,2021,3,hanshin,1,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-3hanshin1.pdf,data/text/2021/2021-3hanshin1.txt,1,134928
2021-3hanshin2.pdf,2021,3,hanshin,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-3hanshin2.pdf,data/text/2021/2021-3hanshin2.txt,1,145696
2021-3hanshin3.pdf,2021,3,hanshin,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-3hanshin3.pdf,data/text/2021/2021-3hanshin3.txt,1,138708
2021-3hanshin4.pdf,2021,3,hanshin,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-3hanshin4.pdf,data/text/2021/2021-3hanshin4.txt,1,146107
2021-4hanshin1.pdf,2021,4,hanshin,1,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin1.pdf,data/text/2021/2021-4hanshin1.txt,1,126412
2021-4hanshin2.pdf,2021,4,hanshin,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin2.pdf,data/text/2021/2021-4hanshin2.txt,1,131217
2021-4hanshin3.pdf,2021,4,hanshin,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin3.pdf,data/text/2021/2021-4hanshin3.txt,1,127477
2021-4hanshin4.pdf,2021,4,hanshin,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin4.pdf,data/text/2021/2021-4hanshin4.txt,1,135748
2021-4hanshin5.pdf,2021,4,hanshin,5,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin5.pdf,data/text/2021/2021-4hanshin5.txt,1,135480
2021-4hanshin6.pdf,2021,4,hanshin,6,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin6.pdf,data/text/2021/2021-4hanshin6.txt,1,137990
2021-4hanshin7.pdf,2021,4,hanshin,7,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin7.pdf,data/text/2021/2021-4hanshin7.txt,1,130253
2021-4hanshin8.pdf,2021,4,hanshin,8,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-4hanshin8.pdf,data/text/2021/2021-4hanshin8.txt,1,140344
2021-5hanshin1.pdf,2021,5,hanshin,1,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin1.pdf,data/text/2021/2021-5hanshin1.txt,1,132740
2021-5hanshin2.pdf,2021,5,hanshin,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin2.pdf,data/text/2021/2021-5hanshin2.txt,1,132577
2021-5hanshin3.pdf,2021,5,hanshin,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin3.pdf,data/text/2021/2021-5hanshin3.txt,1,133223
2021-5hanshin4.pdf,2021,5,hanshin,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin4.pdf,data/text/2021/2021-5hanshin4.txt,1,134690
2021-5hanshin5.pdf,2021,5,hanshin,5,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin5.pdf,data/text/2021/2021-5hanshin5.txt,1,141380
2021-5hanshin6.pdf,2021,5,hanshin,6,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin6.pdf,data/text/2021/2021-5hanshin6.txt,1,138403
2021-5hanshin7.pdf,2021,5,hanshin,7,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin7.pdf,data/text/2021/2021-5hanshin7.txt,1,138298
2021-5hanshin8.pdf,2021,5,hanshin,8,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-5hanshin8.pdf,data/text/2021/2021-5hanshin8.txt,1,138460
2021-6hanshin1.pdf,2021,6,hanshin,1,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin1.pdf,data/text/2021/2021-6hanshin1.txt,1,126491
2021-6hanshin2.pdf,2021,6,hanshin,2,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin2.pdf,data/text/2021/2021-6hanshin2.txt,1,129110
2021-6hanshin3.pdf,2021,6,hanshin,3,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin3.pdf,data/text/2021/2021-6hanshin3.txt,1,133278
2021-6hanshin4.pdf,2021,6,hanshin,4,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin4.pdf,data/text/2021/2021-6hanshin4.txt,1,138529
2021-6hanshin5.pdf,2021,6,hanshin,5,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin5.pdf,data/text/2021/2021-6hanshin5.txt,1,134013
2021-6hanshin6.pdf,2021,6,hanshin,6,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin6.pdf,data/text/2021/2021-6hanshin6.txt,1,140072
2021-6hanshin7.pdf,2021,6,hanshin,7,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin7.pdf,data/text/2021/2021-6hanshin7.txt,1,142653
2021-6hanshin8.pdf,2021,6,hanshin,8,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin8.pdf,data/text/2021/2021-6hanshin8.txt,1,148861
2021-6hanshin9.pdf,2021,6,hanshin,9,https://www.jra.go.jp/datafile/seiseki/report/2021/2021-6hanshin9.pdf,data/text/2021/2021-6hanshin9.txt,1,144991
2022-1nakayama1.pdf,2022,1,nakayama,1,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama1.pdf,data/text/2022/2022-1nakayama1.txt,1,144227
2022-1nakayama2.pdf,2022,1,nakayama,2,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama2.pdf,data/text/2022/2022-1nakayama2.txt,1,150983
2022-1nakayama3.pdf,2022,1,nakayama,3,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama3.pdf,data/text/2022/2022-1nakayama3.txt,1,149123
2022-1nakayama4.pdf,2022,1,nakayama,4,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama4.pdf,data/text/2022/2022-1nakayama4.txt,1,155867
2022-1nakayama5.pdf,2022,1,nakayama,5,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama5.pdf,data/text/2022/2022-1nakayama5.txt,1,138681
2022-1nakayama6.pdf,2022,1,nakayama,6,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama6.pdf,data/text/2022/2022-1nakayama6.txt,1,149769
2022-1nakayama7.pdf,2022,1,nakayama,7,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama7.pdf,data/text/2022/2022-1nakayama7.txt,1,143394
2022-1nakayama8.pdf,2022,1,nakayama,8,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-1nakayama8.pdf,data/text/2022/2022-1nakayama8.txt,1,143390
2022-2nakayama1.pdf,2022,2,nakayama,1,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama1.pdf,data/text/2022/2022-2nakayama1.txt,1,146675
2022-2nakayama2.pdf,2022,2,nakayama,2,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama2.pdf,data/text/2022/2022-2nakayama2.txt,1,150927
2022-2nakayama3.pdf,2022,2,nakayama,3,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama3.pdf,data/text/2022/2022-2nakayama3.txt,1,148297
2022-2nakayama4.pdf,2022,2,nakayama,4,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama4.pdf,data/text/2022/2022-2nakayama4.txt,1,151303
2022-2nakayama5.pdf,2022,2,nakayama,5,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama5.pdf,data/text/2022/2022-2nakayama5.txt,1,151218
2022-2nakayama6.pdf,2022,2,nakayama,6,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama6.pdf,data/text/2022/2022-2nakayama6.txt,1,145556
2022-2nakayama7.pdf,2022,2,nakayama,7,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama7.pdf,data/text/2022/2022-2nakayama7.txt,1,157161
2022-2nakayama8.pdf,2022,2,nakayama,8,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-2nakayama8.pdf,data/text/2022/2022-2nakayama8.txt,1,149761
2022-3nakayama1.pdf,2022,3,nakayama,1,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama1.pdf,data/text/2022/2022-3nakayama1.txt,1,142540
2022-3nakayama2.pdf,2022,3,nakayama,2,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama2.pdf,data/text/2022/2022-3nakayama2.txt,1,144424
2022-3nakayama3.pdf,2022,3,nakayama,3,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama3.pdf,data/text/2022/2022-3nakayama3.txt,1,144006
2022-3nakayama4.pdf,2022,3,nakayama,4,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama4.pdf,data/text/2022/2022-3nakayama4.txt,1,142108
2022-3nakayama5.pdf,2022,3,nakayama,5,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama5.pdf,data/text/2022/2022-3nakayama5.txt,1,149984
2022-3nakayama6.pdf,2022,3,nakayama,6,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama6.pdf,data/text/2022/2022-3nakayama6.txt,1,149467
2022-3nakayama7.pdf,2022,3,nakayama,7,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama7.pdf,data/text/2022/2022-3nakayama7.txt,1,142594
2022-3nakayama8.pdf,2022,3,nakayama,8,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-3nakayama8.pdf,data/text/2022/2022-3nakayama8.txt,1,157060
2022-4nakayama1.pdf,2022,4,nakayama,1,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama1.pdf,data/text/2022/2022-4nakayama1.txt,1,134512
2022-4nakayama2.pdf,2022,4,nakayama,2,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama2.pdf,data/text/2022/2022-4nakayama2.txt,1,139767
2022-4nakayama3.pdf,2022,4,nakayama,3,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama3.pdf,data/text/2022/2022-4nakayama3.txt,1,134559
2022-4nakayama4.pdf,2022,4,nakayama,4,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama4.pdf,data/text/2022/2022-4nakayama4.txt,1,147254
2022-4nakayama5.pdf,2022,4,nakayama,5,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama5.pdf,data/text/2022/2022-4nakayama5.txt,1,137201
2022-4nakayama6.pdf,2022,4,nakayama,6,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama6.pdf,data/text/2022/2022-4nakayama6.txt,1,146386
2022-4nakayama7.pdf,2022,4,nakayama,7,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama7.pdf,data/text/2022/2022-4nakayama7.txt,1,146304
2022-4nakayama8.pdf,2022,4,nakayama,8,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama8.pdf,data/text/2022/2022-4nakayama8.txt,1,140862
2022-4nakayama9.pdf,2022,4,nakayama,9,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-4nakayama9.pdf,data/text/2022/2022-4nakayama9.txt,1,148792
2022-5nakayama1.pdf,2022,5,nakayama,1,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-5nakayama1.pdf,data/text/2022/2022-5nakayama1.txt,1,151768
2022-5nakayama2.pdf,2022,5,nakayama,2,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-5nakayama2.pdf,data/text/2022/2022-5nakayama2.txt,1,151426
2022-5nakayama3.pdf,2022,5,nakayama,3,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-5nakayama3.pdf,data/text/2022/2022-5nakayama3.txt,1,153766
2022-5nakayama4.pdf,2022,5,nakayama,4,https://www.jra.go.jp/datafile/seiseki/report/2022/2022-5nakayama4.pdf,data/text/2022/2022-5nakayama4.txt,1,153963
